epoch,auc,loss,val_auc,val_loss
0,0.5152323246002197,0.6938273906707764,0.51714688539505,0.6934422254562378
1,0.5284095406532288,0.6910414099693298,0.5185047388076782,0.6930161118507385
2,0.5362700819969177,0.6901769638061523,0.534722626209259,0.6929729580879211
3,0.5375156998634338,0.6898605227470398,0.5327363014221191,0.6927652359008789
4,0.5415031909942627,0.6894466280937195,0.5262994766235352,0.6922639012336731
5,0.5435713529586792,0.6888225078582764,0.5591195225715637,0.691892147064209
6,0.546722948551178,0.6891627311706543,0.5596075057983398,0.6908445358276367
7,0.5526329278945923,0.6870381832122803,0.5496515035629272,0.69325190782547
8,0.5610589981079102,0.685755729675293,0.5353879332542419,0.6916095614433289
9,0.5750112533569336,0.6821404099464417,0.5370834469795227,0.6994426250457764
10,0.58577561378479,0.6804373264312744,0.5381282567977905,0.699582576751709
