epoch,loss,val_loss
0,0.6705478429794312,0.5528614521026611
1,0.458234578371048,0.38821905851364136
2,0.37727412581443787,0.3844129145145416
3,0.34294116497039795,0.39298945665359497
4,0.3202038109302521,0.41172584891319275
5,0.29462775588035583,0.40773528814315796
6,0.2636914551258087,0.5016228556632996
7,0.24197247624397278,0.45830318331718445
8,0.2174455225467682,0.4891781210899353
9,0.18418380618095398,0.5158928632736206
10,0.1647612750530243,0.5790367722511292
11,0.1447003185749054,0.5989118218421936
12,0.12546709179878235,0.6196081042289734
13,0.11126420646905899,0.6683801412582397
14,0.0954541265964508,0.6861789226531982
0,0.6705478429794312,0.5528614521026611
1,0.458234578371048,0.38821905851364136
2,0.37727412581443787,0.3844129145145416
3,0.34294116497039795,0.39298945665359497
4,0.3202038109302521,0.41172584891319275
5,0.29462775588035583,0.40773528814315796
6,0.2636914551258087,0.5016228556632996
7,0.24197247624397278,0.45830318331718445
8,0.2174455225467682,0.4891781210899353
9,0.18418380618095398,0.5158928632736206
10,0.1647612750530243,0.5790367722511292
11,0.1447003185749054,0.5989118218421936
12,0.12546709179878235,0.6196081042289734
13,0.11126420646905899,0.6683801412582397
14,0.0954541265964508,0.6861789226531982
0,0.6705478429794312,0.5528614521026611
1,0.458234578371048,0.38821905851364136
2,0.37727412581443787,0.3844129145145416
3,0.34294116497039795,0.39298945665359497
4,0.3202038109302521,0.41172584891319275
5,0.29462775588035583,0.40773528814315796
6,0.2636914551258087,0.5016228556632996
7,0.24197247624397278,0.45830318331718445
8,0.2174455225467682,0.4891781210899353
9,0.18418380618095398,0.5158928632736206
10,0.1647612750530243,0.5790367722511292
11,0.1447003185749054,0.5989118218421936
12,0.12546709179878235,0.6196081042289734
13,0.11126420646905899,0.6683801412582397
14,0.0954541265964508,0.6861789226531982
